id,codigo,nome,descricao,categoria_id,marca_id,calibre_id,tipo_id,funcionamento_id,preco_fornecedor,desconto_fornecedor,frete,margem,ipi,ipi_tipo,difal,imposto_venda,custo_total,preco_a_vista,lucro_liquido_real,lucro_alvo,preco_final,criado_em,atualizado_em,foto_url,promo_ativada,promo_preco_fornecedor,promo_data_inicio,promo_data_fim,slug,visivel_loja,estoque_disponivel,destaque_home,meta_title,meta_description,tags_palavras_chave,descricao_longa,especificacoes_tecnicas,eh_lancamento,eh_outdoor,requer_documentacao,descricao_comercial,nome_comercial
181,TAU00063,"PIST TAURUS 1911 45ACP OFFICER. 3,5"" CAFO 6+1",,2,1,11,1,2,7300.00,2.00,0.00,0.00,0.00,%,26.00,9.00,9014.04,10213.59,280.33,1099.00,10213.59,2025-11-01 10:33:33.403534-03:00,2026-02-13 16:26:36.733431-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/181/2107a1dc2dd942349c7493a5266bf8a6.png,,,,,pist-taurus-1911-45acp-officer-35-cafo-61,True,,,,,,,,,,,,
182,75005570,"PIST TAURUS 1911/8 .45ACP 5"" CAFO CLASSICA",,2,1,11,1,2,6800.00,2.00,0.00,0.00,0.00,%,26.00,9.00,8396.64,10434.77,1099.00,1099.00,0.00,2025-11-01 10:33:21.315800-03:00,2026-02-13 16:26:36.733434-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/182/66d99da667864dfd9f98882dfa8cd861.png,,,,,pist-taurus-19118-45acp-5-cafo-classica,True,,,,,,,,,,,,
183,TAU00032,"PIST TAURUS 1911/8 .45ACP 5"" CAFO TACTICA",,2,1,11,1,2,8134.00,2.00,0.00,0.00,0.00,%,26.00,9.00,10043.86,11152.58,104.98,1099.00,11152.58,2025-11-01 10:33:20.507931-03:00,2026-02-13 16:26:36.733436-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/183/2797555c38d84c5e954b32da13feb41b.png,,,,,pist-taurus-19118-45acp-5-cafo-tactica,True,,,,,,,,,,,,
184,TAU00048,"PIST TAURUS PT845/12 .45ACP 4"" TENEF",,2,1,11,1,2,5801.00,2.00,0.00,0.00,0.00,%,26.00,9.00,7163.07,9079.20,1099.00,1099.00,0.00,2025-11-01 10:33:18.079723-03:00,2026-02-13 16:26:36.733439-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/184/61bf62a8df5b4312863b41d2e2b5fc69.png,,,,,pist-taurus-pt84512-45acp-4-tenef,True,,,,,,,,,,,,
186,TAU00220,"REV TAURUS RT 45SA 45COLT 6T 5,5POL POLIM CERAKOTE",,1,1,11,1,1,6053.26,2.00,0.00,0.00,0.00,%,26.00,9.00,7474.57,9421.50,1099.00,1099.00,0.00,2025-11-01 10:33:09.964194-03:00,2026-02-13 16:26:36.733442-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/186/4fdd3cf8f8e146ed9cebc4ba27e4c481.png,,,,,rev-taurus-rt-45sa-45colt-6t-55pol-polim-cerakote,True,,,,,,,,,,,,
187,TAU00223,"REV TAURUS RT 45SA 45COLT 6T 5,5POL MADEIR CERAKOT",,1,1,11,1,1,7093.00,2.00,0.00,0.00,0.00,%,26.00,9.00,8758.44,10832.35,1099.00,1099.00,0.00,2025-11-01 10:33:09.148152-03:00,2026-02-13 16:26:36.733445-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/187/2bcb00d6bac24fd5adab26394f8b4607.png,,,,,rev-taurus-rt-45sa-45colt-6t-55pol-madeir-cerakot,True,,,,,,,,,,,,
188,10025229,"CAR PUMA LEVER ACT .454CASULL 9T 20"" IN (ROS00011)",,6,9,18,1,1,8070.08,2.00,0.00,20.00,0.00,%,26.00,9.00,9964.93,12456.17,1370.18,0.00,0.00,2025-11-01 10:33:23.751903-03:00,2026-02-13 16:26:36.733448-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/188/eb0d111d5c9643e9b5502127ececaf2d.png,False,0.00,,,car-puma-lever-act-454casull-9t-20-in-ros00011,True,,,,,,,,,,,,
189,TAU00202,"REV TAURUS RT 454 454 CASUL 5T 8,34POL IN FOSC",,1,1,18,1,1,7766.00,2.00,0.00,0.00,0.00,%,26.00,9.00,9589.46,11745.56,1099.00,1099.00,0.00,2025-11-01 10:33:10.775720-03:00,2026-02-13 16:26:36.733451-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/189/6daeed62aee1448a946bb92c9864954d.png,,,,,rev-taurus-rt-454-454-casul-5t-834pol-in-fosc,True,,,,,,,,,,,,
190,TAU00169,FZ T4 CAL .556x45 30T 11.5POL MLOK,,21,1,19,1,2,14592.00,4.00,0.00,18.00,0.00,_dentro,26.00,9.00,17650.48,21524.98,1937.25,0.00,0.00,2025-11-01 10:33:31.799943-03:00,2026-02-13 16:26:36.733454-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/190/c339920c2c1542d3bf10afeb7f4725d2.png,,,,,fz-t4-cal-556x45-30t-115pol-mlok,True,,,,,,,,,,,,
191,TAU00170,FZ T4 CAL 556x45 30T 14.5POL MLOK,,21,1,19,1,2,14592.00,2.00,0.00,18.00,0.00,_dentro,26.00,9.00,18018.20,21973.42,1977.61,0.00,0.00,2025-11-01 10:33:30.999979-03:00,2026-02-13 16:26:36.733457-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/191/417271cfee22419d89d0e1bfe5176475.png,,,,,fz-t4-cal-556x45-30t-145pol-mlok,True,,,,,,,,,,,,
157,TAU00024,"REV TAURUS 889/6 .38 SPL 4"" INOX ALTO B",,1,1,1,1,1,5120.00,2.00,0.00,0.00,0.00,%,26.00,9.00,6322.18,8155.14,1099.00,1099.00,0.00,2025-11-01 10:32:53.691903-03:00,2026-02-13 16:26:36.733311-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/157/8620dcce7ab546939531633794768ba2.png,True,0.00,,,rev-taurus-8896-38-spl-4-inox-alto-b,True,,,,,,,,,,,,
170,MEC00006,CARREGADOR PT100 MECGAR 13T,,19,12,10,14,,234.00,2.00,0.00,45.00,0.00,%,26.00,9.00,288.94,525.35,189.13,0.00,525.35,2025-11-01 10:05:33.291100-03:00,2026-02-13 16:26:36.733402-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/170/ebc9a52882df48c29aa8e8783ab46449.png,,,,,carregador-pt100-mecgar-13t,True,,,,,,,,,,,,
192,TAU00051,FZ T4 CAL .556x45 30T 4C 14.5POL AAP SEMI,,21,1,19,1,2,13606.00,2.00,0.00,20.00,0.00,_dentro,26.00,9.00,16800.69,21000.86,2310.09,0.00,0.00,2025-11-01 10:33:30.187960-03:00,2026-02-13 16:26:36.733460-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/192/9583c6a68c61451fa073e05f6ff8a3c4.png,,,,,fz-t4-cal-556x45-30t-4c-145pol-aap-semi,True,,,,,,,,,,,,
194,TAU00021,CARABINA CT9G2 9X19 1X30T 2X32T ALAP,,6,1,4,1,2,10341.00,2.00,0.00,0.00,0.00,%,26.00,9.00,12769.07,13850.14,-165.44,1099.00,13850.14,2025-11-01 10:33:25.367984-03:00,2026-02-13 16:26:36.733465-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/194/5c3cac600cc24e17a4ce122049cf6b98.png,,,,,carabina-ct9g2-9x19-1x30t-2x32t-alap,True,,,,,,,,,,,,
195,TAU00016,"CAR CTT40C/30 .40S&W 8"" ANOND PRETO",,6,1,10,1,2,10618.00,2.00,0.00,0.00,0.00,%,26.00,9.00,13111.11,14188.02,-200.01,1099.00,14188.02,2025-11-01 10:33:52.063939-03:00,2026-02-13 16:26:36.733468-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/195/732aa072728b40ddaa88894cc5bc9ff6.png,,,,,car-ctt40c30-40sw-8-anond-preto,True,,,,,,,,,,,,
196,TAU00192,CARABINA T9 MLOK 9MM 3x32 8POL ANOD PRETO,,6,1,4,1,2,11449.00,2.00,0.00,0.00,0.00,%,26.00,9.00,14137.23,16743.10,1099.00,1099.00,0.00,2025-11-01 10:33:26.175937-03:00,2026-02-13 16:26:36.733471-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/196/bdd143a154f1458bb065ead1dd3fb686.png,,,,,carabina-t9-mlok-9mm-3x32-8pol-anod-preto,True,,,,,,,,,,,,
197,MEC00002,CARREGADOR TH9C 13T MECCGAR,,19,12,4,14,,247.58,2.00,0.00,45.00,0.00,%,26.00,9.00,305.71,555.85,200.11,0.00,555.85,2025-11-01 10:05:33.294936-03:00,2026-02-13 16:26:36.733474-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/197/18fba71ecdd34cc0ae74965926e2fa83.png,,,,,carregador-th9c-13t-meccgar,True,,,,,,,,,,,,
199,TAU00150,CARREGADOR TAURUS G3C 12T,,19,1,4,14,,205.00,2.00,0.00,45.00,0.00,%,26.00,9.00,253.13,417.59,126.87,0.00,417.59,2025-11-01 10:05:33.294894-03:00,2026-02-13 16:26:36.733477-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/199/2243795bb91845d9b8219019f3aa175c.png,,,,,carregador-taurus-g3c-12t,True,,,,,,,,,,,,
200,TAU00121,PIST TAURUS G3 TACT T.O.R.O 9X19 2X17 CPC,,2,1,4,1,2,5447.00,2.00,0.00,0.00,0.00,%,26.00,9.00,6725.96,8598.85,1099.00,1099.00,0.00,2025-11-01 10:31:11.084672-03:00,2026-02-13 16:26:36.733480-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/200/1b1c750665584909b236cde5758d8109.png,,,,,pist-taurus-g3-tact-toro-9x19-2x17-cpc,True,,,,,,,,,,,,
202,TAU00005,PIST TAURUS G3C TORO 9X19 2x12T TENEF FOSCO,,2,1,4,1,2,4431.00,2.00,0.00,24.00,0.00,%,26.00,9.00,5471.40,7199.21,1079.88,0.00,0.00,2025-11-01 10:33:44.636129-03:00,2026-02-13 16:26:36.733483-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/202/0b1963a85ba748a88e79dc209c75cb8e.png,False,0.00,,,pist-taurus-g3c-toro-9x19-2x12t-tenef-fosco,True,,,,,,,,,,,,
203,TAU00200,PIST TAURUS GX2 9x19 3x13 3.39POL CARB PRETA,,2,1,4,1,2,4158.00,2.00,0.00,24.00,0.00,%_dentro,26.00,9.00,5134.30,6755.66,1013.35,0.00,0.00,2025-11-01 10:31:13.524307-03:00,2026-02-13 16:26:36.733486-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/203/d57ed0c781374b0fa50d2822dc2897c7.png,True,0.00,,,pist-taurus-gx2-9x19-3x13-339pol-carb-preta,True,,,,,,,,,,,,
206,TAU00091,"PIST TAURUS GX4 9x19 2x11 3,06POL VERDE",,2,1,4,1,2,7629.00,1.99,0.00,0.00,0.00,%,29.00,9.00,9645.57,11807.22,1099.00,1099.00,0.00,2025-11-01 10:33:36.603906-03:00,2026-02-13 16:26:36.733488-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/206/d8692b68bb6a45e4ae4e57f697dcf113.png,,,,,pist-taurus-gx4-9x19-2x11-306pol-verde,True,,,,,,,,,,,,
207,TAU00153,"PIST TAURUS 1911 OFFICER 9x19 4x8 3,5POL TENEF FOSCO",,2,1,4,1,2,6494.00,2.00,0.00,0.00,0.00,%,26.00,9.00,8018.79,10019.55,1099.00,1099.00,0.00,2025-11-01 10:33:22.127853-03:00,2026-02-13 16:26:36.733491-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/207/4fcb97a27e7f4d77b2acd662c62fd48f.png,,,,,pist-taurus-1911-officer-9x19-4x8-35pol-tenef-fosco,True,,,,,,,,,,,,
208,TAU00011,PIST TAURUS TH9 9MM 2X17T CTX,,2,1,4,1,2,5960.00,2.00,0.00,0.00,0.00,%,26.00,9.00,7359.41,9294.95,1099.00,1099.00,0.00,2025-11-01 10:33:13.212102-03:00,2026-02-13 16:26:36.733494-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/208/a99be8cc24ac4cf4aa5b8411e6e74693.png,,,,,pist-taurus-th9-9mm-2x17t-ctx,True,,,,,,,,,,,,
210,TAU00070,"PIST TAURUS GX4 9x19 2x11 3,06POL TAN",,2,1,4,1,2,7232.00,2.00,0.00,0.00,0.00,%,26.00,9.00,8930.07,11020.96,1099.00,1099.00,0.00,2025-11-01 10:33:35.795714-03:00,2026-02-13 16:26:36.733497-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/210/2862cce3ccc24978adf0b6028489d70b.png,,,,,pist-taurus-gx4-9x19-2x11-306pol-tan,True,,,,,,,,,,,,
211,TAU00098,PIST G2C 9X19 3X12T CFOMRSP732 PURPURA C,,2,1,4,1,2,4030.00,2.00,0.00,0.00,0.00,%,26.00,9.00,4976.24,5889.08,382.82,1099.00,5889.08,2025-11-01 10:33:14.024000-03:00,2026-02-13 16:26:36.733500-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/211/f5c3299495a94637a558701b3b1b6d90.png,True,0.00,,,pist-g2c-9x19-3x12t-cfomrsp732-purpura-c,True,,,,,,,,,,,,
212,TAU00100,PIST G2C 9X19 3X12T CFOMRSP731 PURPURA E,,2,1,4,1,2,4030.00,3.00,0.00,23.00,0.00,%,26.00,9.00,4925.47,6396.71,895.54,0.00,0.00,2025-11-01 10:33:12.395973-03:00,2026-02-13 16:26:36.733503-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/212/45d2cc1b704d4aedb4d0508766b58dad.png,False,0.00,,,pist-g2c-9x19-3x12t-cfomrsp731-purpura-e,True,,,,,,,,,,,,
213,TAU00017,"PIST TAURUS G3C 9x19 3x12 3,27POL TENEF FOSC",,2,1,4,1,2,3535.00,2.00,0.00,26.00,0.00,%,26.00,9.00,4365.02,5898.67,1002.77,0.00,5898.67,2025-11-01 10:33:42.232559-03:00,2026-02-13 16:26:36.733506-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/213/2d59c6ac04c64408b3e66c132fee068a.png,,,,,pist-taurus-g3c-9x19-3x12-327pol-tenef-fosc,True,,,,,,,,,,,,
214,TAU00020,PIST TAURUS G3 XL 9x19 3X12 4POL TENEF FOSC,,2,1,4,1,2,4531.00,1.99,0.00,0.00,0.00,%,26.00,9.00,5595.45,7356.54,1099.00,1099.00,0.00,2025-11-01 10:33:35.003473-03:00,2026-02-13 16:26:36.733509-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/214/7747222f6c444ad39979b274ca742ee9.png,,,,,pist-taurus-g3-xl-9x19-3x12-4pol-tenef-fosc,True,,,,,,,,,,,,
323,10030345,"ESP CBC MILITARY 3.0 COR FIXA 12/14"" SEM ACESS CBC00133",,5,3,6,1,1,4356.43,2.00,0.00,0.00,0.00,%,26.00,9.00,5379.32,7119.03,1099.00,1099.00,0.00,2026-01-09 09:37:28.579042-03:00,2026-02-24 08:32:55.064408-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/323/d20ee091be5549d2a9473f751883e5b7.png,False,0.00,,,espingarda-cbc-pump-military-3-0-calibre-12-14-polegadas-compacta,True,,False,"Espingarda CBC Pump Military 3.0 .12GA 14"" Compacta | M4 Tática","Compre a Espingarda CBC Military 3.0 de 14 polegadas na M4 Tática em Teresina. A mais compacta e ágil do mercado, ideal para defesa residencial e CQB. Confira!",,"<h1>Espingarda CBC Pump Military 3.0 .12GA - Ultra Compacta (14 Polegadas)</h1>

<p>A <strong>Espingarda CBC Military 3.0</strong> na versão de 14 polegadas é a ferramenta tática por excelência para defesa em ambientes restritos (CQB). Disponível na M4 Tática, este modelo combina o poder devastador do calibre .12 com um comprimento total reduzido, facilitando o manuseio em corredores, escadas e o armazenamento estratégico em veículos.</p>

<h2>Agilidade e Poder de Resposta</h2>

<p>Equipada com um cano de <strong>14 polegadas (355mm)</strong>, esta versão oferece uma agilidade sem precedentes no sistema Pump-Action. A <strong>coronha fixa em polímero</strong> mantém a estabilidade necessária para o controle do recuo, enquanto o tamanho compacto permite transições de alvo extremamente rápidas. Mesmo sendo a versão mais curta da família, mantém a câmara de 3 polegadas (Magnum), permitindo o uso de toda a gama de munições .12 disponíveis no mercado.</p>

<h2>Principais Destaques da Military 3.0 - 14 Polegadas</h2>

<ul>
	<li><strong>Cano de 14"":</strong> O menor comprimento da linha, ideal para defesa domiciliar e tática urbana.</li>
	<li><strong>Capacidade 4+1:</strong> Depósito otimizado para manter o perfil compacto sem abrir mão do poder de fogo.</li>
	<li><strong>Sistema Pump-Action:</strong> Confiabilidade mecânica absoluta para ciclos rápidos de disparo.</li>
	<li><strong>Massa de Mira com Fibra Óptica:</strong> Enquadramento instintivo e rápido mesmo sob estresse.</li>
	<li><strong>Resistência Militar:</strong> Acabamento projetado para suportar o uso operacional intenso e condições extremas.</li>
</ul>

<h2>Especificações Técnicas</h2>

<table>
	<tbody>
		<tr>
			<td><strong>Marca</strong></td>
			<td>CBC (Companhia Brasileira de Cartuchos)</td>
		</tr>
		<tr>
			<td><strong>Modelo</strong></td>
			<td>Military 3.0 (Coronha Fixa)</td>
		</tr>
		<tr>
			<td><strong>Calibre</strong></td>
			<td>.12 GA (Câmara 3"" Magnum)</td>
		</tr>
		<tr>
			<td><strong>Comprimento do Cano</strong></td>
			<td>14"" (355mm)</td>
		</tr>
		<tr>
			<td><strong>Capacidade</strong></td>
			<td>4 + 1 Disparos</td>
		</tr>
		<tr>
			<td><strong>Peso</strong></td>
			<td>Aprox. 2,8 kg (Ultra Leve)</td>
		</tr>
		<tr>
			<td><strong>Choke</strong></td>
			<td>Cilíndrico (Ideal para balotes)</td>
		</tr>
	</tbody>
</table>

<h2>Prontidão Tática na M4 Tática</h2>

<p>Na M4 Tática em Teresina-PI, entendemos que em situações críticas, cada centímetro faz a diferença. A Military 3.0 de 14 polegadas é a resposta para quem busca proteção compacta com autoridade máxima. Lembre-se: a venda de armas de fogo é controlada e exige autorização de compra e documentação válida (PF ou EB/CAC) conforme a legislação vigente.</p>

<p>Quer ver a diferença de tamanho entre as versões de 14"" e 19""? Venha nos visitar ou fale com nossa equipe!</p>

<p><a href=""https://wa.me/558630255885?text=Oi%2C%20estou%20vindo%20do%20site%2C%20quero%20informa%C3%A7%C3%A3o%20sobre%20a%20CBC%20Military%2014%20polegadas"" rel=""noopener"" target=""_blank""><strong>✅ Clique aqui para falar conosco pelo WhatsApp!</strong></a></p>",{},False,False,True,"Máxima manobrabilidade no calibre .12: a Military 3.0 com cano de 14 polegadas é compacta, rápida e letal para defesa em ambientes confinados. O poder de uma 12 no tamanho de uma submetralhadora.","Espingarda CBC Pump Military 3.0 Calibre .12GA – Cano 14"" – Coronha Fixa"
216,TAU00101,PIST GX4 XL 9MM 1X11T 1X13T CGF,,2,1,4,1,2,4770.00,2.00,0.00,0.00,0.00,%,26.00,9.00,5890.00,7162.41,627.80,1099.00,7162.41,2025-11-01 10:33:40.644883-03:00,2026-02-13 16:26:36.733516-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/216/e364b8978242414aa99e523db9cd04b9.png,,,,,pist-gx4-xl-9mm-1x11t-1x13t-cgf,True,,,,,,,,,,,,
217,TAU00154,PIST TAURUS 1911 COMM 9MM 2X9T CTX,,2,1,4,1,2,6610.00,2.00,0.00,0.00,0.00,%,26.00,9.00,8162.03,10176.95,1099.00,1099.00,0.00,2025-11-01 10:33:22.936164-03:00,2026-02-13 16:26:36.733520-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/217/6f256196ba7246d398f30373e296536c.png,,,,,pist-taurus-1911-comm-9mm-2x9t-ctx,True,,,,,,,,,,,,
218,75008127,PIST TAURUS 1911 9MM 4X9T CTX,,2,1,4,1,2,6329.00,2.00,0.00,0.00,0.00,%,26.00,9.00,7815.05,9795.66,1099.00,1099.00,0.00,2025-11-01 10:33:32.599564-03:00,2026-02-13 16:26:36.733523-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/218/f55b4c56af5d447e89ae57bf59838c8c.png,,,,,pist-taurus-1911-9mm-4x9t-ctx,True,,,,,,,,,,,,
219,TAU00009,"PIST TAURUS 917/17 .9MM 4"" CAFO",,2,1,4,1,2,6191.00,2.00,0.00,0.00,0.00,%,26.00,9.00,7644.65,7982.59,-380.49,1099.00,7982.59,2025-11-01 10:33:18.892247-03:00,2026-02-13 16:26:36.733526-03:00,https://pub-1202e2896f1ad48f3caa5d520ab29ff0.r2.dev/produtos/fotos/219/c56e4031a93c466599d85850a5165dd8.png,,,,,pist-taurus-91717-9mm-4-cafo,True,,,,,,,,,,,,
